Rating,Size
3.5,5.8
,
3.3,3.8
4.1,41
4.2,7.9
3.5,2.8
4.2,20
4.4,15
4.1,28
4.2,9.6
4.3,13
4.1,15
4,40
4.1,56
4.2,12
3,9.4
4.4,29
4.5,11
2.5,19
4.1,23
,
4,27
,
1.9,19
3.3,45
4.4,21
4.1,40
3.8,25
4.1,15
4.2,24
,
4.5,11
3.7,38
3.9,31
3.5,6.1
3.9,27
4,32
4.6,13
4,63
4.1,44
,
3.3,16
4.4,28
,
4.2,5.9
3.9,13
4.3,9
3.4,20
4.2,7.9
4.1,28
4,49
3.6,27
4.2,18
3.5,14
4,27
4.1,41
4.1,38
2.8,5.5
4.4,27
4.4,7.2
4.2,21
4.1,8.8
4.2,38
,
4.1,11
4.2,6.5
3.9,26
4,19
4.2,6.1
4.5,77
3.9,9.5
3.6,14
4.4,38
3.5,16
4.4,3.4
4.8,4.7
4.6,5
4.7,4.9
4.8,4.9
NaN,16
2.7,3.9
5,4.4
NaN,4.8
4.8,4.5
5,70
4.8,4.9
NaN,3.7
4.9,4.9
3,16
NaN,4.6
NaN,3.6
4.7,21
NaN,13
NaN,8.7
1,9.2
NaN,6.9
NaN,39
NaN,8
NaN,3.9
NaN,14
NaN,11
NaN,13
5,9.3
4.7,5
NaN,10
5,5
NaN,5
NaN,3.6
NaN,19
5,5
NaN,9.8
NaN,14
NaN,5
NaN,4.9
3,5.5
4.1,11
NaN,3.8
NaN,5
NaN,8.2
NaN,21
NaN,12
NaN,10
NaN,3.3
5,25
3.7,15
4.5,10
4.2,4.9
NaN,4.4
NaN,3.5
NaN,7.8
4.3,9
4.1,15
1.9,19
4.1,56
4.4,38
NaN,16
3.9,5
3.9,27
NaN,4.7
,
4.4,3.4
4.7,4.9
3.8,25
4.4,29
4.4,8.1
3.6,14
4.4,27
2.7,3.9
4.3,13
4.6,5
2.8,5.5
3.5,16
NaN,4.8
3.4,14
4.8,4.7
4.7,3.7
4.8,4.9
4.8,3.5
4.7,4.5
,
3.5,36
4.7,4.5
3.8,19
2.9,14
4.5,77
3.3,21
4.1,7.9
NaN,9.3
,
4.6,18
4.7,18
4.6,21
4.7,3.3
NaN,24
4.5,39
4.7,3.2
4.8,5.1
4.6,11
4.6,27
4.6,37
,
4.9,26
3.8,11
,
4.4,41
4.4,49
4.3,21
4.5,8.1
4.4,51
4.6,14
3.9,18
4.4,3
4.3,19
,
4.2,22
4.4,6.9
4,7.4
4.2,84
3.8,25
4.5,18
,
4.5,2.5
4.3,3.9
,
4.3,21
4.7,27
,
4.6,21
4.6,18
,
4.5,18
,
4.6,10
,
,
,
,
4.4,97
4.2,17
,
,
4,2
4.1,1.9
4.3,1.8
4.3,1.8
4.3,17
4.5,18
4.6,5.3
,
4.6,5.4
4.7,5.4
4.7,5.4
4.3,15
4.7,5.3
4.6,48
4.6,5.4
4.6,47
4.3,556
4.2,29
4,2.3
,
4.2,4.4
4.1,6.6
,
4,526
4.5,12
,
4,29
,
,
,
4.6,21
4.6,18
,
,
,
4.5,18
4.3,17
4.6,10
4.5,76
,
4.2,17
,
,
4.6,18
4.3,21
,
4.7,6.9
,
4.4,14
4.5,76
4.4,11
4,19
4.6,6.5
4.4,7
,
4.7,3.3
4.3,21
,
4.2,2.6
4.3,21
4.3,5.2
4.3,18
,
4.2,16
4,15
4,1.2
,
,
4.1,18
3.9,1.8
4.1,7.6
,
,
4.4,59
,
4,6.9
4.4,14
4.4,41
4,19
4.5,76
,
4.3,21
4.5,21
4.3,21
,
4.3,21
,
,
4.6,5.4
3.5,7.3
,
4.4,59
4.4,41
,
4.3,21
4.5,76
4.8,7.6
,
4.1,13
4.9,63
4.7,44
4.7,24
4.7,24
,
4,4.5
,
4.3,11
,
3.5,4.6
,
,
4.6,3.3
4.2,6.5
,
,
,
3.8,12
,
4.3,5.6
4.4,9.7
4.4,15
,
3.7,52
,
,
4.4,4.5
,
4.2,49
4.2,18
4.5,13
4.7,4
4.5,16
4.5,17
,
4.2,24
,
4.2,12
,
4.1,78
,
4.2,25
4.3,57
,
3.9,9.1
4.1,39
,
4.5,16
,
3.6,8.5
4.3,12
4.3,72
4.2,12
,
,
4.1,16
4.2,9.6
,
4.2,22
,
4.5,13
,
3.8,12
,
3,23
4.1,20
4.2,25
4.1,17
,
4,19
4.4,21
4.2,19
,
,
,
,
4,19
4.3,4.4
3.9,19
4.2,12
,
4.3,11
,
,
,
3.8,12
4.2,25
,
,
4.4,21
4.5,13
4.1,17
4.1,20
,
4.5,20
4,19
4.1,17
3.6,21
3.8,15
4,19
4.2,19
3.7,7.2
3.8,32
,
,
3.7,44
3.9,19
,
4.3,11
,
,
,
4.2,25
,
,
,
,
4.5,16
,
4.1,20
,
4.4,21
4.1,30
,
,
3.9,57
4,19
4.1,17
,
3.8,15
4,19
3.9,19
4.2,19
3.7,44
3.9,19
4.2,35
4.3,44
,
,
4.3,20
4.6,19
4.2,25
,
4.5,43
,
,
4.2,3.6
4.4,7.7
4.2,44
4.3,12
4.6,53
4.3,77
,
4,9.5
4,36
4.5,6.3
4.5,5.9
,
4,12
4.2,2.8
4.4,26
4.6,8.7
NaN,16
4.6,53
,
4.6,14
4.4,8.9
4.6,11
4.9,334
4.5,24
4.6,13
,
4.3,2.8
NaN,9.7
NaN,1.4
,
4.3,3.5
5,61
4.4,6
5,2.3
4.5,9
NaN,11
NaN,27
NaN,3.6
,
4.8,29
4.4,4.4
5,21
NaN,13
3.7,27
NaN,11
4.1,24
NaN,6.1
4.8,6.3
NaN,23
NaN,34
4.6,3.8
,
,
3.6,42
,
3.8,19
4.2,70
4.2,32
4.2,93
,
,
,
4.2,40
4.7,24
,
4.7,20
4,15
3.6,28
4,10
,
,
,
4.2,14
,
4,42
4.1,65
4.4,37
,
4.5,39
4.3,47
4.6,79
4.3,18
,
4.5,100
4.5,32
3.6,46
,
4.1,9.8
3.5,8.2
4.4,18
,
4.5,39
4.2,44
,
4.2,5
4.8,21
4.5,22
4.2,23
,
,
,
4.4,27
,
4.2,5
4.6,32
4.6,7.4
4.4,24
4.3,22
,
4.2,10
3.8,17
4.5,38
4.6,46
4.6,3.8
4.7,9.3
4.6,8.4
4.6,28
,
3.8,9.7
4.3,11
,
4.5,7.4
4.6,19
4.6,16
4.7,14
4.5,22
4.4,25
3.9,3.6
,
,
4.1,4.5
,
4.4,23
,
,
,
4.4,4.2
,
3.9,58
,
4.5,22
,
4.1,1.4
,
4.6,9.1
4.5,22
,
,
,
,
4.3,21
,
,
4.4,11
4.1,38
4.4,12
4.2,45
4.3,50
4.4,24
4.3,47
4.3,23
3.9,46
4.1,45
4.1,50
4.2,24
4.5,33
,
4.7,12
4.4,53
4.6,14
4.6,68
4.4,37
4.6,79
4.3,32
4,46
4.4,40
4.6,32
,
4.1,24
3.6,42
NaN,12
4.1,13
4.6,13
NaN,4.9
4.7,8.9
,
4.7,19
,
4.1,14
3.4,64
3.8,8.4
3.7,11
4.2,66
,
3.5,41
4.7,15
4.5,35
4.2,36
4.3,17
4,25
4.5,35
4.6,10
,
4.1,12
,
3.8,11
,
,
4.2,17
4.3,43
3.8,41
,
3.7,43
4.5,16
3.6,39
4.8,13
3.3,30
4.7,7.1
4.6,23
4.6,17
3.4,18
,
4,17
,
4.5,15
4.4,22
,
4,9
4.1,7.2
,
,
4.1,2.3
4.5,27
,
4.5,8.2
4.3,76
3.6,22
,
4.6,19
,
,
3.9,28
4.5,35
,
3.6,22
,
,
,
4.6,25
4.4,30
4.2,8.5
,
4.3,17
4.2,34
4.5,34
,
4.3,17
4,16
,
4.8,15
4,2.2
4.9,11
4.8,6.9
4.9,13
4.8,11
4.4,2.9
3.3,25
4.7,7
4.6,27
4.8,7.5
,
4.8,15
4.5,9.4
4.4,6.4
4.5,5.5
4.5,3.9
4.5,55
4.8,28
,
4.6,8.8
,
4.5,4
4.7,6.9
4.7,11
,
4.2,5.5
,
4.2,15
4.4,4.3
,
4.6,7.1
4.2,58
,
,
4.5,18
,
3.7,1.5
4.5,6.5
4.6,11
4.6,67
,
4.5,57
4.5,59
4.6,48
4,57
4.3,13
,
,
,
4.6,31
4.9,10
4.5,57
,
4.6,21
4.5,25
4.6,93
4.6,60
4.5,27
4.5,54
,
,
4.5,59
,
4.6,78
4.4,55
,
,
4.6,67
,
4.4,35
,
4.4,43
4.2,39
4.5,4.2
4.5,44
4.4,45
,
4.6,28
4.6,29
4.9,12
4.4,15
4.3,31
,
,
,
,
4.7,20
4.6,39
4.3,94
4.4,35
,
,
4.3,41
4.6,49
4.6,22
,
4.6,23
4.6,28
4.5,7.2
4.1,6.5
,
4.6,24
,
,
4.8,20
,
4.5,15
,
4.4,55
,
4.5,38
4.3,32
,
,
4.6,40
4.5,59
,
,
,
4.4,23
4.7,6.1
,
4.2,58
4.5,55
,
,
4.5,57
4.6,93
4.6,60
,
,
,
,
,
,
4.5,19
4,3.8
4.6,18
4.1,57
4,5.5
,
4.4,5.7
4.1,51
3.5,9.4
4.3,3.3
,
4.2,4
,
,
4.5,19
4,3.8
4.5,4.3
4.6,18
4.4,5.7
,
4.1,3.6
4,5.5
4.1,57
4.1,51
4.2,58
,
3.5,9.4
4.3,3.3
4.2,4
,
,
4.5,9.9
4.4,43
3.7,37
,
,
4.6,40
4.7,73
4.6,28
,
4,23
4.4,10
4.4,15
4.8,8.4
4.6,31
,
,
,
4.4,41
,
,
4.7,20
4.6,39
4.4,35
4.5,34
4.8,7.5
,
4.5,12
4.1,7.7
4.1,21
4,18
4.3,40
,
NaN,8.7
,
3.7,8.6
,
4.2,18
4.5,7.5
4.3,9.1
3.9,13
,
4.3,15
,
4.6,19
,
,
NaN,5.1
4.4,26
4.7,8.3
3.4,27
4.3,7.9
,
4,27
4,5.1
3.8,15
NaN,3.1
4.3,16
3.6,9.2
,
,
4.6,10
NaN,2.6
4.5,13
4.7,1.9
4.3,7
3.7,15
NaN,4.2
4.2,7.8
3.4,77
3.9,5.7
4,5.9
4,7.6
4,5.8
,
4,5.8
4.1,5.3
3.9,5.5
4.4,25
4.4,35
4.3,7.9
4.6,19
4.5,7.5
4.5,12
,
4.5,34
4.3,30
,
,
4.3,16
,
4.1,16
,
4.4,15
4.6,21
NaN,1.8
4.1,4.3
NaN,10
NaN,3.7
3.8,232
4.6,99
3.5,624
4.7,6.9
4.3,7
4.5,7
4.4,6.4
,
4.3,16
NaN,5.9
4.3,95
4.6,8.5
4.6,20
NaN,2.5
4.2,50
NaN,10
NaN,18
4.6,12
NaN,2.5
NaN,2.1
4.4,22
3.9,41
4.5,22
3.8,292
4.3,5.5
,
5,2.5
3.2,8.1
4.5,28
4.7,24
4,3.1
NaN,3.4
4.1,11
3.8,13
4.7,19
4.5,9.5
NaN,21
4.2,9.4
NaN,2.4
4.1,36
3.1,55
4.1,32
4.1,34
4.3,5.1
4,100
4.6,80
4.4,3.3
4.4,28
4.3,5
4.6,11
3.2,55
4.5,7.1
4.6,3.2
4.6,4.4
4.3,16
3,6.3
4.4,45
4.4,23
4.3,37
3.5,13
4.3,8.1
4.5,13
3.7,14
4.5,30
4.2,36
4.3,3
4.6,1.4
4.5,39
3.9,1.8
4.3,1.7
3.3,19
4.7,15
4.2,10
3.2,2.7
4.4,16
3.5,21
3.7,20
3.8,14
3.8,76
3.7,18
4.6,12
4,6.2
,
3.8,6.8
,
4.7,24
3.9,19
4.1,13
4.6,15
4.2,13
,
,
4.2,44
,
4.6,9.7
4.7,24
4.1,13
3.9,4.5
4,4.5
4.1,29
4.6,12
4.1,12
,
4.1,4.6
4.4,10
3.8,6.8
4.3,33
4.1,12
,
4.1,4.6
4.4,10
3.8,6.8
4.3,33
4.4,13
4.2,15
4.4,23
4.3,7.7
,
4,15
4.2,25
,
3.9,3
4.4,22
,
,
4.5,7.5
4.8,24
,
4.5,44
,
,
4.5,14
4.5,67
4.5,76
4.4,74
4.7,23
4.5,46
4.2,24
,
4.6,97
4.3,62
4.3,24
4.2,33
4.6,7.8
4.4,46
4.4,69
4.5,75
4.4,67
4.3,50
4.6,98
,
4.2,4.9
4.2,37
4.5,18
4.5,52
,
4.7,78
4.7,3.9
4.5,59
4.4,97
4.3,11
3.8,38
,
,
,
,
4.1,85
4.3,78
4.4,63
,
4.3,24
4.4,69
4.7,75
,
4.4,70
4.6,63
4.5,99
4.4,49
,
4.5,76
4.5,67
4.3,24
4.5,52
4.6,98
4.4,74
4.4,69
4.5,82
,
4.6,96
4.5,99
4.5,46
,
4.5,99
4.8,87
4.7,3.9
4.4,67
,
4.5,53
4.6,7.8
,
4.6,97
,
,
4.5,59
,
4.4,46
4.7,75
4.3,50
4.3,62
,
4.3,23
4.5,72
4.4,70
4.5,18
,
4.5,35
4.6,78
4.7,25
4.6,74
4.4,97
4.4,17
4.5,53
,
4.3,11
4.5,60
4.5,57
4.4,14
4.5,67
4.2,33
4.5,76
4.4,74
,
4.2,40
4.5,59
4.5,52
,
,
4.5,100
4.3,62
,
,
,
,
4.1,85
4.8,87
4.4,33
4.2,32
4.4,40
4.7,29
4.3,40
4.7,24
4.2,38
4.3,52
,
4.1,54
4.1,71
4.2,73
4.5,57
4.7,38
4.6,62
4.5,95
3.1,16
4.1,39
3.4,78
4.4,36
,
4.6,31
,
4.3,98
4.6,24
4.2,85
4.2,33
4.5,100
4.4,36
4.2,86
4.5,80
4.8,87
4.4,79
4.6,30
4.5,87
4.3,91
4.6,63
,
,
4.5,95
4.6,48
,
,
4.1,93
4.5,53
4.6,82
4.4,99
4.7,49
4.6,25
,
4.5,91
4.6,52
4.2,56
4.5,56
4.8,85
4.1,81
4.3,82
4.4,98
4,77
4.2,99
,
4.2,96
4.5,96
4.7,82
4.2,70
4.4,63
4.6,35
4.9,48
4.4,84
4.5,15
4.6,69
4.2,46
4.5,15
4.6,33
4.6,48
4.5,67
4.4,74
4.6,57
4.5,52
4.6,25
,
4.4,36
4.3,31
4.3,91
,
4.3,92
4.3,70
4.6,93
4.5,52
4.5,91
4.2,37
4.7,64
4.3,35
4,97
4.4,93
4.3,28
4.6,83
4.7,99
4.4,55
4.7,82
4.4,14
4.3,81
,
4.4,74
4.5,67
4.5,52
4.5,76
4.4,67
4.3,50
4.5,46
,
,
4.6,97
4.6,98
4.4,70
4.4,69
4.7,3.9
4.6,7.8
4.5,18
4.3,24
4.3,62
4.3,11
,
4.8,87
4.5,99
,
4.5,82
4.5,94
,
,
,
4.6,96
4.7,75
,
4.5,14
4.5,59
4.6,74
4.5,29
4.4,17
4.4,97
4.6,78
,
,
4.4,63
,
4.7,25
4.6,29
4.5,72
,
4.5,53
,
4.5,76
4.2,33
4.5,60
4.3,62
,
,
4.6,78
4.7,75
,
4.4,70
4.6,99
4.5,99
,
4.5,27
4.5,70
4.6,88
4.6,63
4.3,82
4.6,48
,
4.7,31
4.5,23
,
4.7,59
4.6,39
4.4,54
4.3,48
,
4.3,30
4.4,66
4.2,32
4.3,50
4.5,53
4.4,61
4.7,49
4.2,38
4.1,20
,
,
4.5,66
4.1,57
4.3,95
,
,
4.5,32
4.6,33
4,66
4.3,75
4.5,29
4.4,74
4.4,69
4.6,7.8
4.2,33
4.5,52
4.6,50
4.5,46
4.7,12
4.5,41
4.5,63
4.5,53
4.4,63
4.6,99
,
4.4,20
4.3,11
4.7,75
4.7,13
4.4,46
4.3,78
4.4,49
4.5,14
4.5,100
,
4.4,97
,
,
4.4,15
4.6,33
,
4.4,70
4.6,10
4.6,77
,
,
4.2,4.9
,
4.7,25
4.6,96
4.3,23
4.6,51
4.4,96
,
,
,
4.4,70
4.3,38
4.7,24
,
4.4,20
4.5,67
4.4,19
4.4,51
4.5,22
4.6,46
4.5,21
4.3,39
4.7,23
4.4,26
4.5,39
4.2,24
4.5,15
4.5,20
4.7,24
4.4,44
4.3,38
4.6,52
3.9,14
4.2,49
4.5,8.9
,
4.5,56
4.4,99
4.4,10
4.8,6.9
4.4,20
4.4,10
4.3,19
4.6,33
4.1,85
4.5,48
4.5,9.6
,
4,15
,
4.6,50
4.5,51
4.5,24
4.5,13
4.4,16
,
,
4.5,63
4.2,15
4.3,26
4.5,81
4.2,79
,
4.4,94
4.6,46
4.6,43
4.5,45
4.2,91
4.5,91
4.6,53
4.6,28
4.1,26
4.5,56
4.6,80
4.6,60
,
4.3,67
3.8,78
4.5,27
,
4.8,63
3.9,26
4.5,46
4.4,83
4.3,60
4.2,44
3,82
4.5,67
4.4,99
,
4.7,24
4.1,78
,
,
4.5,51
4.6,94
4.3,16
4.3,93
4.5,77
4.2,32
4.2,58
4.4,48
4.5,69
4.1,73
4.2,99
4.1,16
4.7,54
4.3,56
4.4,68
4.4,25
NaN,7
4.3,54
4.4,51
,
4.3,48
4.2,44
4.2,8.7
4.3,91
4.3,97
4.1,26
4.2,16
,
4.3,53
4.3,95
4.5,83
4.1,78
4.5,56
4.2,21
4.4,26
4,60
4.1,22
4.3,95
4.3,48
4.4,58
4.3,91
4.1,22
4,36
4.3,37
4.6,70
4.3,34
4.7,49
4.3,9.8
4.4,37
,
4.7,55
3.9,84
4.1,16
4.1,92
4.1,57
,
4.7,24
4.4,6.9
4.3,44
4.5,11
4.3,16
4.3,17
4.1,18
4.1,16
4.1,19
4.6,1.6
4.1,47
4.4,16
4.4,14
,
4,75
4.8,25
3.8,5.7
,
4.5,17
4.8,3.5
4.4,16
4.8,42
4.2,47
4.2,67
4,26
4.7,72
4.7,37
3.9,1.2
4.5,17
4.1,19
4.4,23
3.9,25
4.4,83
4.4,94
3.6,97
4.4,37
4.1,92
3.6,48
4.6,12
4.3,15
4.5,83
4.4,9.5
4.1,19
4.4,23
3.9,25
4.4,83
4.4,94
3.6,97
4.4,37
4.1,92
3.6,48
4.6,12
4.3,15
4.5,83
4.4,9.5
4.5,67
,
,
,
3.9,63
4.2,49
4.1,14
3.9,58
4.1,22
4.2,15
,
3.8,50
4.3,59
4.3,34
,
3.9,54
4.3,53
,
,
4.3,37
4.2,25
4.1,26
4,61
4.4,58
4.3,91
4.3,17
4.4,83
4.2,17
,
4.3,64
4.2,41
4.6,58
4.1,23
4.5,71
,
,
4.3,23
4.2,12
4.4,704
4.6,2.9
4.5,25
,
4.5,20
3.2,21
4.6,5.4
4.5,25
4.1,42
4.6,32
4.5,1.8
4.4,33
4.4,3.8
4.4,5.8
3.8,9.5
4.6,19
,
4,5
5,23
4.3,862
3.4,9.9
NaN,24
3.4,2.4
4.3,899
4.4,38
4.4,6.5
4.2,14
5,1.2
4.1,48
3.9,378
4.6,22
4.2,4.8
,
4.2,25
3.6,266
4.5,375
NaN,62
4.7,1.2
,
4.5,2.8
4.2,95
4.2,2.6
4.3,4.6
,
4.1,5.1
4.4,1.8
,
,
4.2,53
4.5,39
NaN,5.3
2.6,14
4.6,8.4
4.8,18
4.2,41
4.7,100
3,3.4
3.5,68
4.6,2.6
4.8,11
,
4.6,37
,
4.8,9.8
4,23
3.7,18
4.2,7.4
4.8,11
,
3.5,23
3.9,34
4.2,15
4.8,13
2.7,24
4.2,20
4.7,14
4.6,69
4.5,38
4.7,26
4.7,2.6
4.5,21
4.7,38
4,16
3.4,21
3.5,10
3,22
4.7,14
4.6,36
4.2,16
4.8,61
4.5,11
4.2,8.5
3.8,37
,
,
4.5,22
4,17
3.6,7.7
4.4,39
4.7,30
4.9,3.7
3.6,28
4.5,16
4.1,20
4.6,8.9
4.7,97
4.7,12
2.8,72
,
4.6,21
,
3.4,27
NaN,5.7
4,6.6
4.8,12
4.2,5.9
3,20
4.5,15
3.7,26
4.5,3.3
4.5,44
4.6,32
4.2,12
4.6,36
3.6,17
4.4,5.8
4.4,11
4.5,16
4.5,25
4.1,6.1
,
4.3,22
4.3,28
4.7,6.3
4.5,25
4.5,60
4.5,20
4.2,8
4.4,20
3.9,6.4
4.2,34
4.4,3.8
4.1,42
3.4,2.4
4.1,70
4,5
NaN,28
4.1,21
3.5,38
,
4,74
4.5,1.8
4.3,12
4.3,13
,
4.6,2.9
4.1,48
4.6,19
3.5,68
2.3,6.8
4.5,12
4.3,5.8
4.2,41
4.2,25
3.1,42
4.4,6.5
4.4,13
2.9,1.5
3.1,3.2
3.7,7.7
4,1.3
3.8,26
4.6,5.4
4.4,11
3.8,9.5
NaN,62
4.8,18
,
NaN,3.1
NaN,1.8
NaN,66
NaN,5
3.7,2.9
5,22
3,16
3.7,19
NaN,40
NaN,23
NaN,15
NaN,29
NaN,16
NaN,65
NaN,29
NaN,20
NaN,3.8
NaN,19
NaN,25
NaN,5.1
NaN,16
NaN,1.5
3.7,10
5,22
NaN,3.6
NaN,20
5,20
NaN,13
5,2.5
NaN,3.6
5,24
NaN,10
5,25
5,29
NaN,17
5,53
5,83
5,4.6
NaN,4.6
NaN,28
NaN,29
4.3,46
4.9,5.7
NaN,1.4
NaN,12
NaN,2.2
NaN,27
NaN,18
NaN,30
NaN,3.5
5,4.2
NaN,6.9
NaN,6.6
4.9,7
4.6,11
5,5.6
NaN,29
NaN,3.3
NaN,20
NaN,7
4,3.3
NaN,29
5,7.1
,
4,23
2.6,24
4.7,14
4.8,13
4.3,34
4.7,4.3
2.5,43
4.6,69
4.5,22
4.1,20
4.5,25
4.3,2
NaN,40
3.8,37
4.4,40
NaN,4.3
NaN,5.7
NaN,4
4.5,17
4.5,11
3.8,4.4
4.5,15
4,2.3
4.5,40
3.7,8.4
4.3,11
3.7,2.9
NaN,2.4
4.4,15
3.8,24
NaN,29
2.7,24
5,22
4.3,86
,
3,22
5,11
3.6,975
4,980
4.3,6
4.7,20
5,26
4.7,13
NaN,23
4.6,2.7
3.1,4.2
4.4,28
5,6.1
3.6,15
2.8,1.2
4.4,37
4.2,5.9
4.6,14
4.2,2.3
NaN,32
3.8,2.7
3.5,2.2
4.7,26
,
,
,
4.4,4
,
4.2,1.5
,
4.3,3.7
,
,
,
4.4,2.8
4.4,3.9
4.3,3.1
,
4.4,2.8
4.5,20
4.6,9.9
4.6,5.3
4.6,10
4.4,2.6
,
4.5,31
4.3,2.3
4.4,6
4.6,17
4.3,20
4.8,62
,
4.6,15
,
4.6,18
4.3,5.4
3.6,2.8
4,15
,
4.4,5.3
,
,
4.5,37
,
4.2,23
,
,
,
,
4.1,28
4.5,35
,
4.2,76
,
4.3,34
,
,
,
,
3.7,2.7
,
3.7,4.1
,
,
,
,
4.1,85
4,15
4.1,89
,
,
,
4.3,20
,
